Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1090927,DOG,P0911549,2,STRAY,1,DL,12/14/2019,APP WNL,TRANSFER,12/18/2019,APP SICK,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091139,DOG,P9991779,10,STRAY,1,BC1779,12/17/2019,APP INJ,EUTHANIZED,12/18/2019,CRITICAL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1089668,DOG,P0631890,14,CONFISCATED,1,DA1761,11/30/2019,APP WNL,RETURNED TO OWNER,12/03/2019,APP WNL,SCAN CHIP,FIELD,NOV.2019,FY2020
A1085636,CAT,P0651901,7,STRAY,1,CBU,10/16/2019,APP SICK,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2019,FY2020
A1089709,DOG,P0909854,6,FOSTER,1,AC,12/19/2019,APP WNL,FOSTER,12/19/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1089527,DOG,P9991709,5,STRAY,1,MH1709,11/27/2019,APP WNL,DIED,12/17/2019,APP SICK,SCAN CHIP,SWEEP,NOV.2019,FY2020
A1091287,DOG,P9991549,4,STRAY,1,MG1718,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1094917,DOG,P9998445,6,STRAY,1,KCB8445,02/01/2020,APP INJ,ADOPTION,02/07/2020,APP WNL,SCAN NO CHIP,FIELD,FEB.2020,FY2020
A1070190,DOG,P0063552,6,TREATMENT,1,CBM,12/17/2019,APP WNL,TREATMENT,12/18/2019,APP SICK,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091280,WILDLIFE,P0912171,9,WILDLIFE,1,MO1764,12/19/2019,APP SICK,EUTHANIZED,12/19/2019,APP SICK,WILDLIFE - UNABEL TO SCAN,FIELD,DEC.2019,FY2020
A1095383,CAT,P0917953,3,STRAY,1,EMV,02/06/2020,APP WNL,FOSTER,02/07/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1094189,DOG,P0750425,3,CONFISCATED,1,YLB1695,01/29/2020,APP WNL,EUTHANIZED,02/07/2020,APP WNL,SCAN NO CHIP,FIELD,JAN.2020,FY2020
A1103090,DOG,P0930140,10,STRAY,1,CBU8453,06/17/2020,APP WNL,RETURNED TO OWNER,06/20/2020,APP WNL,SCAN NO CHIP,FIELD,JUN.2020,FY2020
A1090837,DOG,P0723385,8,OWNER SURRENDER,1,AR1758,12/13/2019,UNKNOWN,EUTHANIZED,12/17/2019,APP INJ,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1094146,DOG,P9991718,7,STRAY,1,MG1718,01/24/2020,APP WNL,RETURNED TO OWNER,01/24/2020,APP WNL,UNABLE TO SCAN,SWEEP,JAN.2020,FY2020
A1091274,DOG,P9991721,4,STRAY,1,MG 1718,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1078546,CAT,P0884389,6,FOSTER,1,SDW,11/15/2019,APP WNL,FOSTER,11/15/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2019,FY2020
A1089589,DOG,P9991195,5,STRAY,1,JO1195,12/17/2019,UNKNOWN,RETURNED TO OWNER,12/17/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1099664,DOG,P0924514,,STRAY,1,WEB,04/08/2020,NORMAL,LOST EXP,05/09/2020,,,,APR.2020,FY2020
A1081609,CAT,P0898689,6,FOSTER,1,AC,11/26/2019,APP SICK,FOSTER,11/26/2019,APP SICK,SCAN NO CHIP,OVER THE COUNTER,NOV.2019,FY2020
A1093584,CAT,P0915099,8,OWNER SURRENDER,1,CDM,01/17/2020,APP WNL,FOSTER,01/18/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,JAN.2020,FY2020
A0765974,DOG,P0630264,6,OWNER SURRENDER,1,CBU,12/18/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1095392,CAT,P0813906,,OWNER SURRENDER,1,BBW,02/06/2020,APP WNL,ADOPTION,02/07/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1082245,DOG,P9991718,2,STRAY,1,MG1718,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1091024,DOG,P9991704,4,STRAY,1,SC1704,12/16/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1052232,DOG,P9991758,6,STRAY,1,AR1758,12/16/2019,APP WNL,RETURNED TO OWNER,12/17/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1090509,DOG,P0911858,10,OWNER SURRENDER,1,DL,12/17/2019,APP WNL,ADOPTION,12/17/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091615,DOG,P0813506,1,STRAY,1,CDM,12/23/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1084170,DOG,P0903362,,TREATMENT,1,NGD,02/26/2020,APP WNL,TREATMENT,02/26/2020,APP SICK,SCAN CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1073732,DOG,P0501439,6,TREATMENT,1,AH,12/18/2019,APP WNL,TREATMENT,12/19/2019,APP SICK,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090738,DOG,P0911237,3,STRAY,1,AR1758,12/12/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1090986,CAT,P0911685,6,OWNER SURRENDER,1,CBU,12/15/2019,APP WNL,ADOPTION,12/17/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091167,DOG,P9991772,4,STRAY,1,RO1772,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1090781,DOG,P0911170,10,OWNER SURRENDER,1,ER1768,12/12/2019,APP WNL,TRANSFER,12/17/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1088704,CAT,P0908280,,STRAY,1,WEB,10/26/2019,NORMAL,FOUND EXP,12/18/2019,,,,OCT.2019,FY2020
A1094750,DOG,P9991778,5,STRAY,1,LUB1778,01/30/2020,UNKNOWN,RETURNED TO OWNER,02/07/2020,UNKNOWN,SCAN CHIP,FIELD,JAN.2020,FY2020
A1098431,DOG,P0000000,6,STRAY,1,DAL,03/13/2020,APP WNL,ADOPTION,03/17/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,MAR.2020,FY2020
A1030475,DOG,P9991749,6,STRAY,1,MC1749,01/24/2020,APP WNL,RETURNED TO OWNER,01/24/2020,APP WNL,SCAN CHIP,FIELD,JAN.2020,FY2020
A1090345,DOG,P0910680,1,OWNER SURRENDER,1,CBU,12/07/2019,APP WNL,ADOPTION,12/18/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091291,DOG,P9991549,4,STRAY,1,MG1718,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1089142,CAT,P0799764,8,STRAY,1,AR1758,11/22/2019,APP WNL,TRANSFER,12/20/2019,UNDERAGE,SCAN NO CHIP,FIELD,NOV.2019,FY2020
A1091876,DOG,P0913141,1,OWNER SURRENDER,1,JKT,12/27/2019,APP INJ,TRANSFER,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091222,DOG,P0912072,6,OWNER SURRENDER,1,DL,12/18/2019,APP WNL,EUTHANIZED,12/18/2019,APP INJ,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A0871575,DOG,P9991704,7,STRAY,1,SEC1704,02/26/2020,APP WNL,RETURNED TO OWNER,02/26/2020,APP WNL,SCAN CHIP,SWEEP,FEB.2020,FY2020
A1091958,DOG,P9991718,4,STRAY,1,MG1718,12/28/2019,APP WNL,RETURNED TO OWNER,12/30/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1092743,DOG,P0914540,,STRAY,1,WEB,01/06/2020,NORMAL,LOST EXP,02/07/2020,,,,JAN.2020,FY2020
A1091227,DOG,P0912076,8,STRAY,1,DL,12/18/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1079289,CAT,P0845778,6,FOSTER,1,OT,12/30/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091225,DOG,P0912076,8,STRAY,1,DL,12/18/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091217,DOG,P9991736,10,STRAY,1,TM1736,12/18/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1091114,DOG,P0911915,4,OWNER SURRENDER,1,SW,12/17/2019,APP WNL,FOSTER,12/17/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1085862,DOG,P0913522,4,STRAY,1,TM1736,12/30/2019,APP WNL,RETURNED TO OWNER,12/30/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1091692,DOG,P0912886,,STRAY,1,WEB,12/23/2019,NORMAL,LOST EXP,01/24/2020,,,,DEC.2019,FY2020
A1091977,WILDLIFE,P0498308,2,OWNER SURRENDER,1,JR,12/28/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1088478,DOG,P9991770,7,STRAY,1,VD1770,12/01/2019,APP WNL,ADOPTION,12/17/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1090346,DOG,P9991171,13,STRAY,1,AV1171,12/07/2019,APP WNL,FOSTER,12/19/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1002873,DOG,P0796836,1,CONFISCATED,1,AT1754,12/17/2019,APP WNL,EUTHANIZED,12/18/2019,APP SICK,SCAN CHIP,FIELD,DEC.2019,FY2020
A1070582,DOG,P9991704,5,STRAY,1,SC1704,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,SCAN CHIP,SWEEP,DEC.2019,FY2020
A1094013,DOG,P0916187,4,OWNER SURRENDER,1,ATD1754,01/22/2020,APP INJ,ADOPTION,02/07/2020,APP WNL,SCAN CHIP,FIELD,JAN.2020,FY2020
A1090825,DOG,P0911391,,STRAY,1,WEB,12/12/2019,NORMAL,LOST EXP,01/12/2020,,,,DEC.2019,FY2020
A1084478,CAT,P0525607,6,FOSTER,1,BR,12/11/2019,APP WNL,TRANSFER,12/18/2019,APP SICK,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1088784,DOG,P0908398,,STRAY,1,WEB,11/18/2019,NORMAL,FOUND EXP,12/19/2019,,,,NOV.2019,FY2020
A1070148,CAT,P0890364,2,OWNER SURRENDER,1,JR,12/07/2019,APP WNL,ADOPTION,12/18/2019,APP SICK,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091129,CAT,P0911920,4,STRAY,1,BT1210,12/17/2019,UNDERAGE,TRANSFER,12/17/2019,UNDERAGE,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1090138,DOG,P0910400,8,STRAY,1,DL,12/05/2019,APP WNL,FOSTER,12/17/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1096937,CAT,P0920061,1,STRAY,1,DSW,02/26/2020,APP INJ,EUTHANIZED,02/26/2020,CRITICAL,SCAN NO CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1091083,DOG,P9991730,7,STRAY,1,EPOOLE,12/17/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,FIELD,DEC.2019,FY2020
A1067017,DOG,P0913182,6,OWNER SURRENDER,1,CDM,12/27/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091952,CAT,P0765045,1,STRAY,1,JR,12/28/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1089905,CAT,P0905229,8,FOSTER,1,AC,12/18/2019,APP SICK,FOSTER,12/18/2019,APP SICK,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090832,DOG,P9998445,4,STRAY,1,KCB8445,02/07/2020,APP WNL,RETURNED TO OWNER,02/07/2020,APP WNL,SCAN CHIP,FIELD,FEB.2020,FY2020
A1077173,DOG,P0896595,6,TREATMENT,1,CBM,12/17/2019,APP WNL,TREATMENT,12/18/2019,APP SICK,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1088633,DOG,P0908178,,STRAY,1,WEB,11/17/2019,NORMAL,LOST EXP,12/18/2019,,,,NOV.2019,FY2020
A1089206,DOG,P0733126,6,FOSTER,1,OT,12/17/2019,APP WNL,ADOPTION,12/18/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1088905,CAT,P0908528,,STRAY,1,WEB,11/09/2019,NORMAL,FOUND EXP,12/20/2019,,,,NOV.2019,FY2020
A1073490,CAT,P0917385,,OWNER SURRENDER,1,DAL,02/04/2020,APP WNL,ADOPTION,02/07/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1082436,DOG,P0921426,,OWNER SURRENDER,1,JKT,05/08/2020,APP WNL,TRANSFER,05/09/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,MAY.2020,FY2020
A1093719,WILDLIFE,P0000000,6,OWNER SURRENDER,1,DL,01/18/2020,APP WNL,TRANSFER,01/24/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1092142,WILDLIFE,P9991770,11,WILDLIFE,1,VD1770,12/30/2019,APP INJ,EUTHANIZED,12/30/2019,APP INJ,WILDLIFE - UNABEL TO SCAN,FIELD,DEC.2019,FY2020
A1091737,DOG,P0912917,5,STRAY,1,MO1764,12/25/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1091310,DOG,P9991765,6,STRAY,1,RK1765,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,FIELD,DEC.2019,FY2020
A1089143,CAT,P0001896,6,FOSTER,1,JS,12/15/2019,APP SICK,TRANSFER,12/20/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1098493,DOG,P0664315,,OWNER SURRENDER,1,JKT,03/14/2020,APP WNL,ADOPTION,03/17/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,MAR.2020,FY2020
A1086773,CAT,P0618456,6,FOSTER,1,SDW,12/18/2019,APP WNL,TRANSFER,12/18/2019,,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091258,DOG,P9991784,6,STRAY,1,BB,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1090974,DOG,P0793129,2,STRAY,1,CBU,12/15/2019,APP WNL,ADOPTION,12/17/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090264,DOG,P9991751,8,CONFISCATED,1,EP1751,12/07/2019,APP WNL,TRANSFER,12/19/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1096778,DOG,P9991704,3,STRAY,1,SEC1704,02/24/2020,APP WNL,ADOPTION,02/26/2020,APP WNL,SCAN NO CHIP,SWEEP,FEB.2020,FY2020
A1091203,DOG,P9991718,6,STRAY,1,MG1718,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1095426,DOG,P9991779,10,STRAY,1,BMC1779,02/07/2020,APP SICK,EUTHANIZED,02/07/2020,FATAL,SCAN NO CHIP,FIELD,FEB.2020,FY2020
A0960276,DOG,P9991764,4,STRAY,1,MO1764,10/02/2019,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,10/02/2019,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,FIELD,OCT.2019,FY2020
A1091277,DOG,P9991772,1,STRAY,1,RO1772,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN CHIP,SWEEP,DEC.2019,FY2020
A1067728,DOG,P9991579,4,STRAY,1,ASB1579,01/12/2020,APP WNL,RETURNED TO OWNER,01/12/2020,APP WNL,SCAN NO CHIP,SWEEP,JAN.2020,FY2020
A1091228,DOG,P0912076,8,STRAY,1,DL,12/18/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090939,CAT,P0911578,7,STRAY,1,CBU,12/14/2019,DEAD,DEAD ON ARRIVAL,12/14/2019,DEAD,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1093788,DOG,P0655176,3,STRAY,1,CDM,01/20/2020,APP WNL,ADOPTION,01/24/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1092104,DOG,P0912648,4,STRAY,1,MM1701,12/30/2019,APP WNL,FOSTER,12/30/2019,UNKNOWN,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1093650,DOG,P0915710,4,OWNER SURRENDER,1,MM,01/18/2020,APP WNL,ADOPTION,01/24/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1073546,DOG,P9991754,1,STRAY,1,AT1754,12/17/2019,APP WNL,RETURNED TO OWNER,12/17/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1091221,DOG,P9991740,1,STRAY,1,WH1740,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1075611,DOG,P0664844,6,TREATMENT,1,JS,01/23/2020,APP WNL,TREATMENT,01/23/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1092071,DOG,P9991704,5,STRAY,1,SC1704,12/30/2019,APP WNL,RETURNED TO OWNER,12/30/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1091950,CAT,P0765045,1,STRAY,1,JR,12/28/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091327,DOG,P9991721,8,STRAY,1,MG1718,12/20/2019,APP WNL,RETURNED TO OWNER,12/20/2019,APP WNL,UNABLE TO SCAN,SWEEP,DEC.2019,FY2020
A1088864,CAT,P0908476,,STRAY,1,WEB,11/18/2019,NORMAL,LOST EXP,12/20/2019,,,,NOV.2019,FY2020
A1091494,DOG,P9991774,1,STRAY,1,SM1774,12/22/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1091296,DOG,P9991723,1,STRAY,1,MW1723,12/19/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,UNABLE TO SCAN,FIELD,DEC.2019,FY2020
A1091786,DOG,P0912974,9,OWNER SURRENDER,1,CDM,12/26/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091187,DOG,P0911991,7,OWNER SURRENDER,1,MO1764,12/18/2019,APP SICK,TRANSFER,12/30/2019,APP SICK,SCAN CHIP,FIELD,DEC.2019,FY2020
A1090814,CAT,P9991195,5,STRAY,1,JO1195,12/13/2019,UNKNOWN,TRANSFER,12/19/2019,UNKNOWN,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1090867,DOG,P0911450,2,OWNER SURRENDER,1,DL,12/13/2019,APP WNL,TRANSFER,12/17/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090528,DOG,P9991579,7,STRAY,1,ASB1579,12/10/2019,APP WNL,FOSTER,12/19/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1089678,DOG,P0909661,,STRAY,1,WEB,11/29/2019,NORMAL,LOST EXP,12/30/2019,,,,NOV.2019,FY2020
A1096623,CAT,P0919635,1,STRAY,1,EMV,02/22/2020,APP WNL,ADOPTION,02/26/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1091137,CAT,P0750051,6,FOSTER,1,GDG,02/07/2020,APP WNL,ADOPTION,02/07/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1091193,DOG,P0758773,3,STRAY,1,BW,12/18/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091744,DOG,P9991754,3,STRAY,1,AT1754,12/25/2019,APP INJ,EUTHANIZED,12/30/2019,CRITICAL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A0846680,DOG,P9991740,9,STRAY,1,WH1740,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,UNABLE TO SCAN,FIELD,DEC.2019,FY2020
A1093804,CAT,P0875640,1,STRAY,1,MM,01/20/2020,APP WNL,ADOPTION,01/24/2020,APP WNL,UNABLE TO SCAN,OVER THE COUNTER,JAN.2020,FY2020
A1089614,DOG,P0909467,,STRAY,1,WEB,11/28/2019,NORMAL,LOST EXP,12/30/2019,,,,NOV.2019,FY2020
A1091156,DOG,P9991704,5,STRAY,1,SC1704,12/18/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN CHIP,SWEEP,DEC.2019,FY2020
A1088822,DOG,P0727243,8,OWNER SURRENDER,1,CBU,11/19/2019,APP WNL,TRANSFER,12/19/2019,APP SICK,SCAN NO CHIP,OVER THE COUNTER,NOV.2019,FY2020
A1093484,DOG,P9991764,7,STRAY,1,MO1764,01/16/2020,APP WNL,ADOPTION,01/24/2020,APP WNL,SCAN CHIP,FIELD,JAN.2020,FY2020
A1090976,CAT,P0844974,6,FOSTER,1,AC,12/19/2019,APP SICK,FOSTER,12/19/2019,APP SICK,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1096868,DOG,P0511652,,OWNER SURRENDER,1,DAL,02/25/2020,UNDERAGE,TRANSFER,02/26/2020,UNDERAGE,SCAN NO CHIP,OVER THE COUNTER,FEB.2020,FY2020
A1093826,DOG,P9991736,1,STRAY,1,SM1774,01/20/2020,APP WNL,ADOPTION,01/24/2020,APP WNL,SCAN CHIP,FIELD,JAN.2020,FY2020
A1042630,DOG,P9991772,8,STRAY,1,ROB1772,02/01/2020,APP WNL,ADOPTION,02/07/2020,APP WNL,SCAN CHIP,SWEEP,FEB.2020,FY2020
